Reading	Plate	Well	Type	Group	Sample	Meas. time [s]	RFU	Em	Ex	
3	1	 A04	Unknown	Assay	1 4/4	247.53	0.316326	520	490	
3	1	 A05	Unknown	Assay	9 1/4	247.78	0.218097	520	490	
3	1	 B05	Unknown	Assay	9 2/4	248.03	0.253066	520	490	
3	1	 C05	Unknown	Assay	9 3/4	248.28	0.238536	520	490	
3	1	 D05	Unknown	Assay	9 4/4	248.53	0.268212	520	490	
4	1	 A01	Unknown	Assay	1 1/4	359.78	0.295987	520	490	
4	1	 B01	Unknown	Assay	2 1/4	360.03	0.236174	520	490	
4	1	 C01	Unknown	Assay	3 1/4	360.28	0.267521	520	490	
4	1	 D01	Unknown	Assay	4 1/4	360.53	0.3563	520	490	
4	1	 E01	Unknown	Assay	5 1/4	360.78	0.409295	520	490	
4	1	 F01	Unknown	Assay	6 1/4	361.03	0.768862	520	490	
4	1	 G01	Unknown	Assay	7 1/4	361.28	0.238128	520	490	
4	1	 H01	Unknown	Assay	8 1/4	361.53	2.13069	520	490	
4	1	 H02	Unknown	Assay	8 2/4	361.78	2.13094	520	490	
4	1	 G02	Unknown	Assay	7 2/4	362.03	0.264069	520	490	
4	1	 F02	Unknown	Assay	6 2/4	362.28	0.802971	520	490	
4	1	 E02	Unknown	Assay	5 2/4	362.53	0.326514	520	490	
4	1	 D02	Unknown	Assay	4 2/4	362.78	0.295952	520	490	
4	1	 C02	Unknown	Assay	3 2/4	363.03	0.285952	520	490	
4	1	 B02	Unknown	Assay	2 2/4	363.28	0.272717	520	490	
4	1	 A02	Unknown	Assay	1 2/4	363.53	0.29425	520	490	
4	1	 A03	Unknown	Assay	1 3/4	363.78	0.293069	520	490	
4	1	 B03	Unknown	Assay	2 3/4	364.03	0.288301	520	490	
4	1	 C03	Unknown	Assay	3 3/4	364.28	0.298765	520	490	
4	1	 D03	Unknown	Assay	4 3/4	364.53	0.320414	520	490	
4	1	 E03	Unknown	Assay	5 3/4	364.78	0.335281	520	490	
4	1	 F03	Unknown	Assay	6 3/4	365.03	0.774182	520	490	
4	1	 G03	Unknown	Assay	7 3/4	365.28	0.245669	520	490	
4	1	 H03	Unknown	Assay	8 3/4	365.53	2.08635	520	490	
4	1	 H04	Unknown	Assay	8 4/4	365.78	1.95068	520	490	
4	1	 G04	Unknown	Assay	7 4/4	366.03	0.203408	520	490	
4	1	 F04	Unknown	Assay	6 4/4	366.28	0.729499	520	490	
4	1	 E04	Unknown	Assay	5 4/4	366.53	0.346078	520	490	
4	1	 D04	Unknown	Assay	4 4/4	366.78	0.276261	520	490	
4	1	 C04	Unknown	Assay	3 4/4	367.03	0.287847	520	490	
4	1	 B04	Unknown	Assay	2 4/4	367.28	0.328036	520	490	
4	1	 A04	Unknown	Assay	1 4/4	367.53	0.280878	520	490	
